loop,DRate Gbps,Pattern,Channel,TXpre,TXpost,TXattn,vos0,vos1,vos2,vos3,vos4,vos5,vos06,vos07,dc,lf,hf,bw,gain,tap1,tap2,tap3,tap4,tap5,tap6,tap7,tap8,tap9,tapA,tapB,tapC,tapD,errors,BER@eh0V,eh@1e10,eh@1e12,eh@1e15,eh@1e17,eh_r2fit,BER@ew0mUI,ew@1e10,ew@1e12,ew@1e15,ew@1e17,ew_r2fit
1,16.0,prbs31,Macallan_BP,0,0,0,130,138,122,124,140,142,127,129,104,5,15,7,0,8,-6,0,5,4,0,0,0,-1,-1,-1,-1,-1,0,9.676707656635821e-20,79,59,32,15,0.9999991059303284,1.3208200431327046e-32,414,364,295,253,0.999573826789856
2,16.0,prbs31,Macallan_BP,0,0,0,128,138,124,126,143,144,127,129,108,4,15,7,0,6,-11,1,3,-1,0,-1,-1,-1,-1,-1,-1,-1,0,8.458873810546392e-22,90,70,45,29,0.9998654127120972,6.17580324741537e-33,412,362,295,254,0.9996642470359802
3,16.0,prbs31,Macallan_BP,0,0,0,128,138,124,126,143,144,127,129,108,4,15,7,0,6,-10,1,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,2.6092648094594193e-22,92,73,47,32,0.9999712109565735,1.512657859605087e-32,407,357,289,248,0.9986885190010071
4,16.0,prbs31,Macallan_BP,0,0,0,128,137,124,126,142,144,127,129,108,4,15,7,0,6,-10,1,4,-1,0,0,-1,-1,-1,-1,-1,-1,0,1.038610283737944e-20,87,67,39,23,0.9996216893196106,2.7468553730792524e-34,417,368,303,263,0.9993370771408081
5,16.0,prbs31,Macallan_BP,0,0,0,128,138,124,126,142,144,127,129,108,4,15,7,0,7,-11,1,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,1.883841077239908e-22,91,73,48,32,0.9990818500518799,1.7914761757231955e-31,406,354,284,241,0.9997717142105103
6,16.0,prbs31,Macallan_BP,0,0,0,128,138,124,126,143,144,127,129,108,4,15,7,0,6,-11,1,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,2.322145863854902e-22,91,72,47,32,0.9996861815452576,6.040019812328293e-32,408,357,287,245,0.9991817474365234
7,16.0,prbs31,Macallan_BP,0,0,0,130,139,123,124,140,142,127,129,106,5,15,7,0,8,-6,2,5,0,0,0,0,-1,-1,-1,-1,-1,0,5.2265693085792575e-20,81,61,34,17,0.999866247177124,2.8254351137009444e-31,405,353,282,239,0.9997509717941284
8,16.0,prbs31,Macallan_BP,0,0,0,128,136,125,127,144,146,127,129,108,3,15,7,1,5,-11,0,2,-1,-1,0,-1,-1,-1,-1,-1,-1,0,1.4713285829539382e-24,99,81,57,43,0.9999358654022217,4.565403852371142e-39,438,394,334,298,0.9999619722366333
9,16.0,prbs31,Macallan_BP,0,0,0,128,137,124,126,142,144,127,129,108,4,15,7,0,6,-11,1,3,-1,0,0,0,-1,-1,-1,-1,-1,0,2.128193967846424e-21,88,69,42,27,0.9996926188468933,1.0358842257145666e-34,422,374,308,269,0.9992688894271851
10,16.0,prbs31,Macallan_BP,0,0,1,128,138,124,126,142,143,127,129,106,4,15,7,0,6,-10,1,3,-1,0,0,-1,-1,-1,-2,-1,-1,0,2.2951356517574143e-20,83,63,36,20,0.9941142797470093,1.6285923565577666e-32,406,356,289,248,0.9980836510658264
11,16.0,prbs31,Macallan_BP,0,0,1,128,138,124,126,142,144,127,129,106,4,15,7,0,7,-11,0,4,-1,0,0,-1,-1,-1,-1,-1,-1,0,1.5548643468524856e-21,86,68,42,27,0.9988263249397278,1.293585811254198e-33,411,362,296,256,0.9991819262504578
12,16.0,prbs31,Macallan_BP,0,0,1,129,138,125,126,142,144,127,129,108,4,15,7,0,6,-10,1,3,-1,0,-1,-1,-1,-1,-1,-1,-1,0,4.1932808143320494e-22,88,70,45,30,0.9989268779754639,7.576871494588143e-34,417,368,302,261,0.9981557130813599
13,16.0,prbs31,Macallan_BP,0,0,1,130,139,123,124,140,141,127,129,106,5,15,7,0,8,-6,3,5,1,0,1,-1,-1,-1,0,-1,-1,0,3.45935397975106e-19,75,55,28,11,0.9993618726730347,5.227070314244888e-28,382,325,249,203,0.9999687671661377
14,16.0,prbs31,Macallan_BP,0,0,1,128,137,124,125,143,144,127,129,106,4,15,7,0,6,-10,0,3,0,0,0,0,-1,-1,-1,-1,-1,0,2.029454724643431e-21,87,68,42,26,0.9899111986160278,9.270054794297741e-34,424,374,306,265,0.9991116523742676
15,16.0,prbs31,Macallan_BP,0,0,1,130,138,122,124,139,141,127,129,100,5,15,7,0,8,-6,-1,5,3,0,0,0,-1,-1,-1,-1,-1,0,2.658690479214771e-18,71,50,22,4,0.9999953508377075,1.62801594744877e-29,389,335,262,218,0.9995266199111938
16,16.0,prbs31,Macallan_BP,0,0,1,128,138,124,126,142,144,127,129,111,4,15,7,0,6,-10,8,3,-7,0,0,-1,-1,-1,-1,-1,-1,0,9.095740759458241e-21,83,64,38,22,0.9998525977134705,7.777637796485974e-27,325,274,205,164,0.9998019337654114
17,16.0,prbs31,Macallan_BP,0,0,1,128,137,126,127,143,145,127,129,106,3,15,7,1,5,-11,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,0,2.0169128867380526e-22,90,72,47,32,0.9985424876213074,2.2152123156579637e-35,424,377,312,273,0.9997313022613525
18,16.0,prbs31,Macallan_BP,0,0,1,128,137,125,126,142,144,127,129,108,4,15,7,0,6,-10,1,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,5.566413731282392e-21,85,66,39,24,0.998829185962677,1.9839322900929048e-31,406,354,283,241,0.9997783303260803
19,16.0,prbs31,Macallan_BP,0,0,2,128,137,125,126,142,143,127,129,100,4,15,7,0,6,-10,-3,3,2,0,-1,-1,-1,-1,-1,-1,-1,0,7.754965972954898e-22,84,66,42,27,0.9999105334281921,2.936534761317416e-32,409,359,290,248,0.9999977350234985
